Link_Metrics

Link ID,Packets Transmitted,Packets Transmitted,Packets Errored,Packets Errored,Packets Collided,Packets Collided,Bytes Transmitted(bytes),Payload Transmitted(bytes),Overhead Transmitted(bytes)
 ,Data,Control,Data,Control,Data,Control, , , 
All,11917920,1246485,0,0,0,0,18178352536,17400163200,778189336
1,0,18763,0,0,0,0,3184108,0,3184108
2,0,9391,0,0,0,0,1592956,0,1592956
3,0,17099,0,0,0,0,3302538,0,3302538
4,2979480,0,0,0,0,0,4510932720,4350040800,160891920
5,2979480,1177417,0,0,0,0,4633272292,4350040800,283231492
6,2979480,0,0,0,0,0,4510932720,4350040800,160891920
7,0,2,0,0,0,0,444,0,444
8,46163,0,0,0,0,0,69890782,67397980,2492802
9,0,4,0,0,0,0,536,0,536
10,0,386,0,0,0,0,77468,0,77468
11,71985,0,0,0,0,0,108985290,105098100,3887190
12,0,258,0,0,0,0,34572,0,34572
13,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0
16,0,1543,0,0,0,0,301426,0,301426
17,298287,0,0,0,0,0,451606518,435499020,16107498
18,0,774,0,0,0,0,103716,0,103716
19,0,514,0,0,0,0,97660,0,97660
20,99316,0,0,0,0,0,150364424,145001360,5363064
21,0,0,0,0,0,0,0,0,0
22,0,772,0,0,0,0,154936,0,154936
23,67809,0,0,0,0,0,102662826,99001140,3661686
24,0,1032,0,0,0,0,138288,0,138288
25,0,1028,0,0,0,0,195320,0,195320
26,132611,0,0,0,0,0,200773054,193612060,7160994
27,0,516,0,0,0,0,69144,0,69144
28,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0
31,0,771,0,0,0,0,146490,0,146490
32,113224,0,0,0,0,0,171421136,165307040,6114096
33,0,258,0,0,0,0,34572,0,34572
34,0,1799,0,0,0,0,341810,0,341810
35,309938,0,0,0,0,0,469246132,452509480,16736652
36,0,258,0,0,0,0,34572,0,34572
37,0,514,0,0,0,0,97660,0,97660
38,99316,0,0,0,0,0,150364424,145001360,5363064
39,0,0,0,0,0,0,0,0,0
40,0,129,0,0,0,0,28638,0,28638
41,48627,0,0,0,0,0,73621278,70995420,2625858
42,0,258,0,0,0,0,34572,0,34572
43,0,514,0,0,0,0,97660,0,97660
